name,location,rate,approx_cost(for two people),cuisines,votes
Java City,Jayanagar,2.6,450.0,"Cafe, American, Pizza",157
A2B - Adyar Ananda Bhavan,HSR,2.8,400.0,"South Indian, North Indian, Chinese, Street Food, Fast Food",484
Plan B,Brigade Road,4.2,1200.0,"American, Continental, BBQ, Steak",4428
The Chaat Shop,Basavanagudi,2.5,200.0,Fast Food,35
Mangala Hotel,Koramangala 1st Block,3.6,300.0,"Kerala, Chinese, North Indian",97
55 Wall Street,JP Nagar,3.9,1300.0,"Finger Food, North Indian, Chinese",1786
HQ,Whitefield,4.1,1000.0,"North Indian, Italian, Finger Food, Continental",466
Eatzgreen,Marathahalli,3.8,500.0,"Healthy Food, South Indian, Fast Food, North Indian, Beverages",61
Wolf'ish,Church Street,4.1,700.0,"Cafe, American, Italian, Pizza, Burger",460
Coffee Mechanics,HBR Layout,4.3,700.0,"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee",191
Aramane Restaurant,Rajajinagar,3.0,300.0,"South Indian, Chinese, Fast Food",75
Bake Addiction,JP Nagar,4.1,500.0,"Bakery, Desserts",91
World In A Bowl,Indiranagar,2.9,600.0,"Continental, North Indian, Desserts, Beverages",40
Oye Amritsar,Koramangala 6th Block,4.0,600.0,North Indian,1863
Cafe Treat - The Pride Hotel,Richmond Road,4.1,1000.0,"Continental, Asian, Italian",119
Mid Night Hunting,Ejipura,3.7,300.0,"Fast Food, Italian",127
The Breakfast Truck,Koramangala 6th Block,3.8,550.0,Continental,65
Aaranya Restaurant,HSR,3.4,800.0,"North Indian, Chinese, Mughlai",212
Punjab Mail,Malleshwaram,3.8,650.0,"North Indian, Chinese, Beverages",324
Hyderabad Cuisine,"Varthur Main Road, Whitefield",2.8,650.0,"Seafood, Biryani, Hyderabadi, North Indian",70
Ibaco,Indiranagar,4.0,300.0,Desserts,292
KFC,Basavanagudi,3.8,400.0,"Burger, Fast Food",319
Munchies,Brigade Road,3.9,250.0,"Fast Food, Bakery",65
New Leaf Restaurant,Indiranagar,3.7,1500.0,Chinese,58
Kobe Sizzlers,Indiranagar,4.1,1500.0,"American, Continental, Fast Food, Steak",1473
Brownie Heaven,Cunningham Road,4.2,300.0,"Desserts, Fast Food",34
Bangaliana,Koramangala 7th Block,3.9,600.0,Bengali,454
Delicacy,Koramangala 4th Block,3.9,500.0,"Chinese, Thai, Momos",519
Bella,Jayanagar,3.9,1000.0,"Mangalorean, Seafood, South Indian",142
Zyara,HBR Layout,3.8,650.0,"North Indian, Mughlai, Chinese",191
Indus Family Restaurant,BTM,3.8,600.0,"North Indian, Biryani, Chinese",117
Cafe China,Banaswadi,3.7,500.0,Chinese,42
Grills & Rolls,JP Nagar,2.5,400.0,"North Indian, Chinese, Fast Food, Rolls, Juices",321
Mojo Pizza - 2X Toppings,Banashankari,4.2,600.0,Pizza,179
@Italy,HSR,3.5,700.0,"Italian, Pizza",40
Fava,Lavelle Road,4.4,1200.0,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",2052
Cafe Thulp,Kammanahalli,4.0,1000.0,"Cafe, Burger, Italian, Salad",719
Lassi Shop,Koramangala 5th Block,4.1,200.0,"Beverages, Ice Cream",211
Gilly's Restobar,Koramangala 5th Block,4.5,1000.0,"Finger Food, Continental, North Indian",3903
Barbeque Nation,Koramangala 1st Block,4.7,1600.0,"North Indian, European, Mediterranean, BBQ, Kebab",3628
Toscano,Koramangala 7th Block,4.5,1500.0,"Italian, Salad",721
Windmills Craftworks,Whitefield,4.6,2500.0,"American, North Indian, Salad",5954
Chaitanya Cafe,JP Nagar,3.9,300.0,"South Indian, North Indian, Fast Food",92
IceBreakers,Church Street,4.3,400.0,"Desserts, Ice Cream",182
Naachiyar's,Ulsoor,3.9,600.0,Chettinad,117
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,4.0,1100.0,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",151
Damodar Seth,Marathahalli,3.1,600.0,"Bengali, Chinese, North Indian",152
The Grub Central,HSR,4.0,700.0,"Cafe, Italian, Continental",803
Portland Steakhouse & Cafe,MG Road,4.3,1500.0,"Steak, Italian, Continental, American, Burger, BBQ, Salad",2040
SGS Non Veg - Gundu Pulav,St. Marks Road,3.9,400.0,"Biryani, Fast Food",55
Aroma Of Asia,Frazer Town,3.9,400.0,"Fast Food, Momos",49
Bottoms Up Resto Bar,Kalyan Nagar,3.9,1200.0,"Finger Food, Italian, Continental",248
Hari Super Sandwich,Basavanagudi,4.1,200.0,"Fast Food, Street Food",279
Saatvikk,Brigade Road,2.8,650.0,"North Indian, South Indian, Continental",132
Coconut Grove,Church Street,3.9,1200.0,"South Indian, Chettinad, Kerala, Seafood",681
South Kitchen,Basavanagudi,4.3,100.0,South Indian,275
Darbar,Banashankari,3.0,800.0,"North Indian, Chinese",98
Taaza Mithai,JP Nagar,3.9,100.0,"Mithai, Street Food",48
Szechuan Dragon,Banashankari,4.2,600.0,"Chinese, Thai, Momos",1647
Imperial Restaurant,Mysore Road,3.7,750.0,"North Indian, Chinese, Biryani, Beverages",264
Lucky Singh & Co,Whitefield,4.0,350.0,"Fast Food, North Indian, Rolls",38
Black Pepper Lounge - Case de Bengaluru,Koramangala 6th Block,3.7,1200.0,Finger Food,81
nu.tree,Sarjapur Road,4.3,400.0,"North Indian, Healthy Food, Beverages",300
Empire Restaurant,Rajajinagar,4.0,750.0,"North Indian, Mughlai, South Indian, Chinese",630
Kobe Sizzlers,Brigade Road,4.1,1500.0,"American, Continental, Fast Food, Steak",1120
Onesta,JP Nagar,4.4,600.0,"Pizza, Cafe, Italian",4381
7 Plates,Koramangala 5th Block,3.7,750.0,"Mughlai, Fast Food",259
Smacznego,Banashankari,4.2,550.0,"Cafe, Mexican, Italian, Momos, Beverages",505
Mudpipe Cafe,JP Nagar,3.9,800.0,"Cafe, Continental, North Indian",727
Retreat Restaurant,RT Nagar,3.7,500.0,"Chinese, North Indian",88
Sunehri,Richmond Road,3.8,500.0,South Indian,67
Italia - The Park Bangalore,MG Road,3.7,2500.0,Italian,82
HSR High Street,HSR,3.8,800.0,"Hyderabadi, North Indian, South Indian, Biryani",321
Bangalore Brew Works,Residency Road,4.2,1700.0,"Continental, Italian",2212
Banjara Melting Pot,Cunningham Road,4.2,1700.0,"North Indian, Chinese, Seafood",475
Indian Coffee House,Church Street,4.0,200.0,South Indian,1221
BISO - Citrus Hotels,Cunningham Road,3.9,1100.0,"North Indian, South Indian, Italian, Continental",158
The Foodyz,JP Nagar,3.6,500.0,"North Indian, Chinese",43
Sherlock's Pub,Brookefield,3.5,1500.0,"Continental, North Indian, Chinese",261
The Chocolate Heaven,Whitefield,3.1,600.0,"Desserts, Cafe",175
Rasoi,Banashankari,3.3,300.0,"North Indian, Chinese",128
Onesta,Koramangala 4th Block,4.4,600.0,"Pizza, Cafe, Italian",9084
The Blackboard Bakery,Lavelle Road,3.7,1000.0,"Cafe, Bakery, Continental",93
Andhra Ruchulu,Brookefield,3.7,500.0,"Andhra, North Indian, Chinese, Biryani",106
20 Char - Sterlings MAC Hotel,Old Airport Road,4.0,1400.0,"Chinese, Continental, North Indian, South Indian, Arabian",419
Dadi's Dum Biryani,BTM,4.1,800.0,"Biryani, North Indian, Mughlai",2727
The ThickShake Factory,Koramangala 7th Block,4.3,350.0,"Beverages, Juices",235
Tim Tai,Koramangala 5th Block,4.4,1400.0,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",3677
Light House Cafe,Marathahalli,3.7,700.0,"Cafe, Beverages, Continental, North Indian, Chinese",94
Dev's Gugababa,BTM,3.5,500.0,"Bengali, North Indian, Chinese",177
Ambur Star Briyani,BTM,3.7,400.0,"Biryani, Kebab",118
Barbeque Nation,JP Nagar,4.7,1600.0,"North Indian, European, Mediterranean, BBQ, Kebab",3845
The Belgian Waffle Co.,Koramangala 5th Block,4.2,350.0,"Desserts, Beverages",180
Taaza Thindi,Banashankari,4.7,100.0,South Indian,651
Ludo CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Kumaraswamy Layout,3.9,550.0,"Cafe, Chinese, Arabian",144
Balle Balle Dhaba,Kalyan Nagar,3.6,500.0,"North Indian, Chinese",199
Kullad Cafe,BTM,3.9,200.0,"North Indian, Cafe, Fast Food, Beverages",331
Starbucks,JP Nagar,4.2,700.0,"Cafe, Desserts",386
Coco Grove Beer Cafe,Church Street,3.8,800.0,Continental,151
Drunkling - Sizzlers and Pub,Koramangala 5th Block,4.4,1000.0,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",346
Hatti Kaapi,Koramangala 5th Block,3.9,200.0,"South Indian, Beverages",237
Zee5 Loft,Koramangala 6th Block,4.4,500.0,"Cafe, North Indian, Pizza, Sandwich, Salad",362
Entropy Cafe,Koramangala 6th Block,4.1,600.0,"Cafe, Chinese, Pizza, North Indian, Burger",507
Zam Zam Kabab House,Yeshwantpur,3.4,300.0,"North Indian, Chinese",89
Simon Says Brew Works,Koramangala 5th Block,4.5,1400.0,"Continental, American, Italian, Modern Indian, Pizza, Burger",1932
Ginger & Garlic,Brookefield,3.6,350.0,"South Indian, North Indian, Chinese",92
Indian Tadka,Whitefield,3.7,700.0,North Indian,214
Banjara Melting Pot,Koramangala 4th Block,4.2,1700.0,"North Indian, Chinese, Seafood",767
Happy Brew,Koramangala 5th Block,4.0,1000.0,"Continental, American, Chinese, BBQ, Salad",2158
Trick Or Treat,Brigade Road,4.2,500.0,"Cafe, Burger, Continental, Pizza, Steak",619
The Orchard,Sadashiv Nagar,4.0,900.0,North Indian,672
Rasovara,Lavelle Road,4.3,1400.0,"Rajasthani, North Indian",771
Just Shawarma,New BEL Road,3.8,300.0,Arabian,179
Imli,Indiranagar,3.9,800.0,"North Indian, Street Food",1849
Sai Abhiruchi,BTM,3.8,800.0,"Andhra, North Indian, Biryani",339
Foxtrot,Marathahalli,4.4,1200.0,"North Indian, Chinese, Continental, Momos",1184
ReadyBowl,BTM,3.7,400.0,"Andhra, South Indian, North Indian, Biryani",69
McDonald's,Brookefield,3.0,500.0,"Fast Food, Burger, Beverages, Cafe, Desserts",401
The Paratha Company,Koramangala 4th Block,4.3,400.0,North Indian,287
Friends Night Kitchen,Koramangala 6th Block,3.8,400.0,"Italian, Pizza",110
Ember The Calabash,New BEL Road,4.1,800.0,"Cafe, Italian, Continental, Beverages",670
Chai Point,HSR,4.0,250.0,"Tea, Beverages, Fast Food",316
"Lush - Renaissance Hotel, Bengaluru",Race Course Road,4.5,1200.0,"North Indian, Continental",409
Lakeview Milkbar,Koramangala 8th Block,3.8,500.0,"Desserts, Cafe, Fast Food",291
Under The Tree,Domlur,3.0,200.0,"Desserts, Juices, Fast Food",64
Marzipan Cafe & Bakery,Ulsoor,4.2,700.0,"Cafe, Mediterranean, Bakery, Greek, Beverages",444
Namdhari's Salad Bar,Indiranagar,3.9,300.0,"Juices, Fast Food, Desserts, Salad",82
Kanti Sweets,Sahakara Nagar,4.0,400.0,"Mithai, Street Food",159
J Spice,Banashankari,3.8,750.0,"North Indian, Chinese",59
Banjara Melting Pot,Koramangala 4th Block,4.2,1700.0,"North Indian, Chinese, Seafood",767
New Udupi Upahara,Kalyan Nagar,3.7,200.0,"Chinese, North Indian, South Indian",85
Smacznego,Banashankari,4.2,550.0,"Cafe, Mexican, Italian, Momos, Beverages",504
Spice Code,JP Nagar,3.9,1000.0,"South Indian, North Indian, Chinese, Biryani",165
East Delicious,Marathahalli,4.0,600.0,"Chinese, Thai",497
Cafe Grill,Jeevan Bhima Nagar,4.1,300.0,"Chinese, North Indian, Rolls",496
Sannidhi Grand,Kammanahalli,3.8,300.0,"South Indian, North Indian, Chinese, Street Food",52
Kullad Cafe,BTM,3.9,200.0,"North Indian, Cafe, Fast Food, Beverages",333
Grazers,Jayanagar,3.9,650.0,"Cafe, Burger, Continental, Italian, Desserts",295
Barleyz,Koramangala 6th Block,3.8,2000.0,"North Indian, Continental, Chinese",4646
Ovenstory Pizza,Sahakara Nagar,4.0,800.0,Pizza,120
The Egg Factory,St. Marks Road,4.2,750.0,"Continental, American",1770
Mandi,JP Nagar,3.8,800.0,North Indian,561
Onesta,Whitefield,4.4,600.0,"Pizza, Cafe, Italian",2110
Cafe Vivacity,Banashankari,3.8,650.0,Cafe,90
Tandoori Junction,Marathahalli,3.9,400.0,"North Indian, Chinese, Biryani",81
South Kitchen,Basavanagudi,4.3,100.0,South Indian,275
Mighty Small,MG Road,4.1,1200.0,"Continental, Chinese",259
Biergarten,Koramangala 5th Block,4.8,2100.0,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",516
Smise,Koramangala 4th Block,4.0,650.0,"Cafe, Continental, Italian, Burger, Pizza",1208
Chai Point,New BEL Road,4.0,250.0,"Fast Food, Beverages",108
Blistering Barnacles,Indiranagar,3.9,1200.0,"Chinese, Continental, American, Steak",1224
Green Pepper,Jeevan Bhima Nagar,3.9,600.0,"Seafood, South Indian, Chinese, Kerala",262
Chez Nous - Novotel,Marathahalli,3.9,2500.0,"European, French, North Indian",125
OPUS Club,Sarjapur Road,4.4,1900.0,"Continental, Italian, North Indian, Mexican",1558
Grubhouse,Indiranagar,4.1,800.0,"Continental, Cafe, Steak",332
Kadai Crust - Amma Veetu Samayal,Indiranagar,3.8,700.0,"Chettinad, South Indian, Biryani",263
Aaharam,Koramangala 1st Block,4.0,350.0,"Chinese, North Indian",65
Maraheb Restaurant,Kalyan Nagar,4.2,1000.0,Arabian,224
Brewz Coffee,BTM,3.0,650.0,Cafe,61
Bonfooder,Sarjapur Road,3.9,400.0,North Indian,36
Asaivam Restaurant,Indiranagar,4.0,750.0,"Chettinad, South Indian",71
Delite Chaat House,Koramangala 6th Block,3.9,300.0,"Street Food, Gujarati",499
Kudla - Hotel Ramanashree,Richmond Road,4.1,1200.0,"South Indian, Andhra, Chinese",354
Thai House,Brigade Road,4.2,700.0,Thai,125
Hunan,Koramangala 5th Block,4.3,1100.0,"Chinese, Thai, Momos",2241
Sagar Deluxe,Kumaraswamy Layout,3.2,300.0,"South Indian, North Indian, Chinese, Juices",167
FreshMenu,Koramangala,3.9,450.0,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",585
Mama Mia!,Indiranagar,4.3,400.0,"Desserts, Cafe",420
Samosa Party,Jeevan Bhima Nagar,4.1,150.0,"Street Food, Fast Food",374
Empire Restaurant,Jayanagar,4.4,750.0,"North Indian, Mughlai, South Indian, Chinese",5060
Kadamba Gardenia,Jalahalli,3.6,400.0,"South Indian, Chinese, North Indian, Street Food",74
White Plate,MG Road,4.2,1500.0,"Thai, Continental, North Indian",260
Mel's Korner,Church Street,3.8,500.0,Fast Food,95
Real Fresh Dosa Corner,Brookefield,4.2,200.0,South Indian,267
Nesara Mullti - Cuisine Family Dining & Garden...,Malleshwaram,2.7,800.0,"North Indian, Chinese, South Indian, Beverages",61
Dal Tadkaa,Banashankari,2.5,500.0,North Indian,247
Gelato Italiano,Whitefield,3.1,200.0,"Ice Cream, Bakery, Desserts",39
Barleyz,Koramangala 6th Block,3.7,2000.0,"North Indian, Continental, Chinese",4652
Ibaco,Koramangala 4th Block,4.2,300.0,Desserts,348
Burger King,Indiranagar,4.0,600.0,"Burger, Fast Food, Beverages",1393
Sandwichwallas,Jayanagar,3.9,200.0,Fast Food,105
Rajan's Cafe,Domlur,2.8,300.0,"North Indian, Chinese, Fast Food",79
Nuts Over Salads Cafe,Koramangala 5th Block,4.5,800.0,"Cafe, Salad",208
Mudpipe Cafe,Cunningham Road,4.2,750.0,"Cafe, Continental, Italian, Burger",740
Garma Garam,Bannerghatta Road,3.2,350.0,"North Indian, Chinese, Biryani, Rolls",144
East Delicious,Marathahalli,4.0,600.0,"Chinese, Thai",501
Maria's Goan Kitchen,Koramangala 7th Block,4.0,750.0,"Goan, Chinese, Biryani",396
Desi Cream Junction,Jayanagar,3.7,650.0,"Chinese, North Indian, Pizza, Italian",36
Aaha,Brookefield,3.6,300.0,"North Indian, Chinese",93
World of Waffles,JP Nagar,3.9,400.0,Desserts,191
Nandhana Palace,Koramangala 4th Block,4.1,800.0,"Andhra, Biryani, North Indian, Chinese",819
Olive Bar And Kitchen,Richmond Road,4.5,1800.0,"Mediterranean, European, Salad",2198
Tarbouche,Koramangala 5th Block,4.0,300.0,"Turkish, Rolls",265
The Fisherman's Wharf,Sarjapur Road,4.3,1400.0,"Seafood, Goan, North Indian, Continental, Asian",4108
Vaathsalya Millet Cafe,JP Nagar,4.1,500.0,"Healthy Food, South Indian",294
Sri Udupi Park,Old Airport Road,3.7,400.0,"South Indian, Chinese, North Indian",443
Aniram's,JP Nagar,4.1,500.0,"Chinese, North Indian",739
Pot Biryani,Whitefield,3.1,600.0,"North Indian, Chinese, Biryani, Seafood",113
Starbucks,Koramangala 7th Block,4.2,700.0,"Cafe, Desserts",1355
Tree Top,Wilson Garden,3.8,1000.0,"Continental, Chinese, North Indian, South Indian",74
Jalsa,Marathahalli,4.2,1500.0,"North Indian, Mughlai",2173
Chavadi,Bannerghatta Road,4.4,1200.0,"Continental, North Indian, Pizza, Italian",2241
Xian,Ulsoor,3.8,800.0,"Chinese, Thai",81
Gundappa Donne Biryani,Koramangala 7th Block,3.1,200.0,Biryani,117
Lovely Knights,Bellandur,3.5,500.0,"North Indian, Chinese",356
Sweet Truth,Kalyan Nagar,3.9,500.0,"Bakery, Desserts",35
Bademiyan Kebabs,Malleshwaram,3.8,600.0,"Kebab, Hyderabadi, Biryani, Charcoal Chicken",86
A2B - Adyar Ananda Bhavan,Indiranagar,3.0,400.0,"South Indian, North Indian, Chinese, Street Food, Fast Food",566
Polar Bear,Electronic City,4.0,400.0,"Ice Cream, Desserts, Beverages, Sandwich",145
Nakkshatra,Indiranagar,3.9,1100.0,"North Indian, Andhra",79
Cool Corner,Basavanagudi,4.2,250.0,"Street Food, Fast Food",196
RS Shiv Sagar,Commercial Street,4.1,500.0,"South Indian, North Indian, Chinese",538
Skoolroom,Ulsoor,4.3,700.0,"Cafe, Continental, Italian, Burger, Beverages",569
The Bar Stock Exchange,St. Marks Road,4.3,1300.0,"Continental, Chinese, North Indian, Finger Food",609
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,4.4,100.0,South Indian,343
Eating Love,Sarjapur Road,4.3,800.0,"Cafe, Italian, Pizza",149
Byg Brewski Brewing Company,Sarjapur Road,4.9,1600.0,"Continental, North Indian, Italian, South Indian, Finger Food",16832
Alampur Bar And Restaurant,Race Course Road,3.7,900.0,"Chinese, South Indian, North Indian",42
Sunehri,Richmond Road,3.8,500.0,South Indian,67
Brownie Heaven,Indiranagar,4.3,300.0,Desserts,127
Roots,Koramangala 1st Block,4.6,1200.0,"North Indian, South Indian, Chinese, Continental, Mangalorean",1892
Chai Point,Residency Road,4.0,250.0,"Fast Food, Beverages",135
Thanco's Natural Ice Cream,HSR,3.9,450.0,"Ice Cream, Desserts",103
Dalma,Koramangala 6th Block,3.9,600.0,Oriya,475
Chung's Chinese Corner,Cunningham Road,3.3,600.0,"Chinese, Asian, American, Seafood",204
Matsuri - The Chancery Hotel,Lavelle Road,4.4,1800.0,Japanese,185
Chung Wah,Kalyan Nagar,4.0,800.0,"Chinese, Thai, Momos, Vietnamese",717
Chung Wah,Bannerghatta Road,4.0,800.0,"Chinese, Thai, Momos, Vietnamese",536
Leon Grill,Indiranagar,4.2,500.0,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",315
Sizzling Pasto,Marathahalli,4.1,1100.0,"Continental, Chinese, North Indian",99
Chinita Real Mexican Food,Koramangala 5th Block,4.5,1200.0,Mexican,729
Unicorn Bar & Restaurant,Infantry Road,3.9,800.0,"Seafood, North Indian, Chinese",119
BIB-Breakfast in the Box,Whitefield,3.7,600.0,"American, Sandwich",61
Imperial Restaurant,Koramangala 6th Block,3.6,800.0,"Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",241
Memories of China - Taj MG Road Bengaluru,MG Road,4.3,3000.0,"Chinese, Momos",457
Spicy Kitchen,HSR,3.8,500.0,"Andhra, North Indian",64
Tiwari's,Jayanagar,3.8,200.0,"North Indian, Street Food",69
Shiv Shakthi,HSR,4.0,100.0,"Street Food, North Indian",175
La Grande Cafe,Jayanagar,3.8,400.0,Cafe,46
Ragoo's,Jayanagar,3.9,800.0,"Italian, Pizza, North Indian, Salad",233
Munchies,Brigade Road,3.9,250.0,"Fast Food, Bakery",65
A Hole Lotta Love Cafe,Koramangala 5th Block,4.3,600.0,"Cafe, American, Burger, Sandwich, Beverages",2873
Cafe Mangii,Lavelle Road,4.3,1600.0,"Italian, Continental, Pizza",1053
The Belgian Waffle Co.,Indiranagar,4.0,400.0,Desserts,71
RS Shiv Sagar,Basavanagudi,3.7,450.0,"North Indian, Chinese, South Indian, Fast Food, Juices",217
The Fatty Bao - Asian Gastro Bar,Indiranagar,4.6,1200.0,"Asian, Thai, Vietnamese, Malaysian, Beverages",3760
Fusion Lounge,Brigade Road,2.0,1500.0,Finger Food,396
Rajanna Military Hotel,Jayanagar,4.1,400.0,"Biryani, Fast Food",171
